72 authors x 7 steps; 0 done, 504 to run
[1/504] 3381418 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (12.2s/call, ~102 min left)
[23/504] 1796990 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (3.3s/call, ~26 min left)
[24/504] 1796990 n=100 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.3s/call, ~26 min left)
[25/504] 1796990 n=200 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.2s/call, ~26 min left)
[26/504] 1796990 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.2s/call, ~26 min left)
[27/504] 1796990 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (3.2s/call, ~26 min left)
[28/504] 1796990 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (3.2s/call, ~26 min left)
[29/504] 3485073 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Aries'} (3.2s/call, ~25 min left)
[30/504] 3485073 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Libra'} (3.2s/call, ~25 min left)
[31/504] 3485073 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.2s/call, ~25 min left)
[32/504] 3485073 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Gemini'} (3.1s/call, ~25 min left)
[33/504] 3485073 n=400 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Aries'} (3.1s/call, ~25 min left)
[34/504] 3485073 n=800 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.1s/call, ~24 min left)
[35/504] 3485073 n=1600 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.1s/call, ~25 min left)
[36/504] 3883160 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (3.1s/call, ~24 min left)
[37/504] 3883160 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (3.1s/call, ~24 min left)
[38/504] 3883160 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (3.1s/call, ~24 min left)
[39/504] 3883160 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (3.1s/call, ~24 min left)
[40/504] 3883160 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (3.0s/call, ~24 min left)
[41/504] 3883160 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (3.1s/call, ~24 min left)
[42/504] 3883160 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (3.1s/call, ~24 min left)
[43/504] 2587417 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Aquarius'} (3.1s/call, ~24 min left)
[44/504] 2587417 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Gemini'} (3.1s/call, ~23 min left)
[45/504] 2587417 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.0s/call, ~23 min left)
[46/504] 2587417 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.0s/call, ~23 min left)
[47/504] 2587417 n=400 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Aquarius'} (3.0s/call, ~23 min left)
[48/504] 2587417 n=800 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Aquarius'} (3.0s/call, ~23 min left)
[49/504] 2587417 n=1600 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Sagittarius'} (3.1s/call, ~23 min left)
[50/504] 2792117 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (3.1s/call, ~23 min left)
[51/504] 2792117 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~23 min left)
[52/504] 2792117 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~23 min left)
[53/504] 2792117 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~23 min left)
[54/504] 2792117 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~23 min left)
[55/504] 2792117 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~23 min left)
[56/504] 2792117 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (3.0s/call, ~23 min left)
[57/504] 3668815 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[58/504] 3668815 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[59/504] 3668815 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[60/504] 3668815 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[61/504] 3668815 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[62/504] 3668815 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[63/504] 3668815 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[64/504] 958176 n=25 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Virgo'} (3.0s/call, ~22 min left)
[65/504] 958176 n=50 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Virgo'} (3.0s/call, ~22 min left)
[66/504] 958176 n=100 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Virgo'} (3.0s/call, ~22 min left)
[67/504] 958176 n=200 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Scorpio'} (3.0s/call, ~22 min left)
[68/504] 958176 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Scorpio'} (3.0s/call, ~22 min left)
[69/504] 958176 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Scorpio'} (3.0s/call, ~22 min left)
[70/504] 958176 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Scorpio'} (3.0s/call, ~22 min left)
[71/504] 3887241 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~22 min left)
[72/504] 3887241 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[73/504] 3887241 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[74/504] 3887241 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[75/504] 3887241 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[76/504] 3887241 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[77/504] 3887241 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[78/504] 3431579 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Scorpio'} (3.0s/call, ~21 min left)
[79/504] 3431579 n=50 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Scorpio'} (3.0s/call, ~21 min left)
[80/504] 3431579 n=100 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[81/504] 3431579 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[82/504] 3431579 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[83/504] 3431579 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[84/504] 3431579 n=1600 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Cancer'} (3.0s/call, ~21 min left)
[85/504] 4199201 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.0s/call, ~21 min left)
[86/504] 4199201 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.0s/call, ~21 min left)
[87/504] 4199201 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Gemini'} (3.0s/call, ~21 min left)
[88/504] 4199201 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (3.0s/call, ~20 min left)
[89/504] 4199201 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Gemini'} (3.0s/call, ~20 min left)
[90/504] 4199201 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (3.0s/call, ~20 min left)
[91/504] 4199201 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Leo'} (3.0s/call, ~20 min left)
[92/504] 3336217 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~20 min left)
[93/504] 3336217 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~20 min left)
[94/504] 3336217 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.9s/call, ~20 min left)
[95/504] 3336217 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.9s/call, ~20 min left)
[96/504] 3336217 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.9s/call, ~20 min left)
[97/504] 3336217 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.9s/call, ~20 min left)
[98/504] 3336217 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (3.0s/call, ~20 min left)
[99/504] 3376000 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.9s/call, ~20 min left)
[100/504] 3376000 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.9s/call, ~20 min left)
[101/504] 3376000 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~20 min left)
[102/504] 3376000 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~20 min left)
[103/504] 3376000 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~20 min left)
[104/504] 3376000 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~20 min left)
[105/504] 3376000 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~20 min left)
[106/504] 1266795 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Aries'} (2.9s/call, ~20 min left)
[107/504] 1266795 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~19 min left)
[108/504] 1266795 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Scorpio'} (2.9s/call, ~19 min left)
[109/504] 1266795 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[110/504] 1266795 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[111/504] 1266795 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[112/504] 1266795 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[113/504] 3839094 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Taurus'} (2.9s/call, ~19 min left)
[114/504] 3839094 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.9s/call, ~19 min left)
[115/504] 3839094 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.9s/call, ~19 min left)
[116/504] 3839094 n=200 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Gemini'} (2.9s/call, ~19 min left)
[117/504] 3839094 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[118/504] 3839094 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[119/504] 3839094 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[120/504] 3484266 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.9s/call, ~19 min left)
[121/504] 3484266 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.9s/call, ~19 min left)
[122/504] 3484266 n=100 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[123/504] 3484266 n=200 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~19 min left)
[124/504] 3484266 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[125/504] 3484266 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[126/504] 3484266 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[127/504] 3914391 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[128/504] 3914391 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[129/504] 3914391 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[130/504] 3914391 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[131/504] 3914391 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~18 min left)
[132/504] 3914391 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[133/504] 3914391 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~18 min left)
[134/504] 3649439 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[135/504] 3649439 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[136/504] 3649439 n=100 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[137/504] 3649439 n=200 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[138/504] 3649439 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[139/504] 3649439 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[140/504] 3649439 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~18 min left)
[141/504] 2753052 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~18 min left)
[142/504] 2753052 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~18 min left)
[143/504] 2753052 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~17 min left)
[144/504] 2753052 n=200 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~17 min left)
[145/504] 2753052 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[146/504] 2753052 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[147/504] 2753052 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~17 min left)
[148/504] 3931664 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Gemini'} (2.9s/call, ~17 min left)
[149/504] 3931664 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~17 min left)
[150/504] 3931664 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~17 min left)
[151/504] 3931664 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~17 min left)
[152/504] 3931664 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[153/504] 3931664 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[154/504] 3931664 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[155/504] 3581214 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.9s/call, ~17 min left)
[156/504] 3581214 n=50 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.9s/call, ~17 min left)
[157/504] 3581214 n=100 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.9s/call, ~17 min left)
[158/504] 3581214 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~17 min left)
[159/504] 3581214 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~17 min left)
[160/504] 3581214 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[161/504] 3581214 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Scorpio'} (2.9s/call, ~17 min left)
[162/504] 3659963 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[163/504] 3659963 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[164/504] 3659963 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[165/504] 3659963 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[166/504] 3659963 n=400 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[167/504] 3659963 n=800 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[168/504] 3659963 n=1600 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[169/504] 2856529 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~16 min left)
[170/504] 2856529 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~16 min left)
[171/504] 2856529 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[172/504] 2856529 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[173/504] 2856529 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.9s/call, ~16 min left)
[174/504] 2856529 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~16 min left)
[175/504] 2856529 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~16 min left)
[176/504] 2389810 n=25 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.9s/call, ~16 min left)
[177/504] 2389810 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~16 min left)
[178/504] 2389810 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~16 min left)
[179/504] 2389810 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~16 min left)
[180/504] 2389810 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Scorpio'} (2.9s/call, ~16 min left)
[181/504] 2389810 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~15 min left)
[182/504] 2389810 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Scorpio'} (2.9s/call, ~15 min left)
[183/504] 3493704 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[184/504] 3493704 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[185/504] 3493704 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[186/504] 3493704 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[187/504] 3493704 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[188/504] 3493704 n=800 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[189/504] 3493704 n=1600 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.9s/call, ~15 min left)
[190/504] 1777155 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~15 min left)
[191/504] 1777155 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~15 min left)
[192/504] 1777155 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~15 min left)
[193/504] 1777155 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~15 min left)
[194/504] 1777155 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~15 min left)
[195/504] 1777155 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~15 min left)
[196/504] 1777155 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~15 min left)
[197/504] 3367633 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~15 min left)
[198/504] 3367633 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.9s/call, ~15 min left)
[199/504] 3367633 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Virgo'} (2.9s/call, ~15 min left)
[200/504] 3367633 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~14 min left)
[201/504] 3367633 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~14 min left)
[202/504] 3367633 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.9s/call, ~14 min left)
[203/504] 3367633 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.9s/call, ~14 min left)
[204/504] 3761480 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.9s/call, ~14 min left)
[205/504] 3761480 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~14 min left)
[206/504] 3761480 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~14 min left)
[207/504] 3761480 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~14 min left)
[208/504] 3761480 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~14 min left)
[209/504] 3761480 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~14 min left)
[210/504] 3761480 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[211/504] 3435468 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[212/504] 3435468 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[213/504] 3435468 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
[214/504] 3435468 n=200 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Cancer'} (2.8s/call, ~14 min left)
